PRINCIPIO,REGLA,type_rules,EJEMPLO,rule
3,3.1,com.datio.hammurabi.rules.validity.NotNullValidationRule,GL_MVP_t_b0hn_agg_output_ems_hgl_3.1_000,3.1
,3.2,com.datio.hammurabi.rules.validity.FormatValidationRule,GL_MVP_t_b0hn_agg_output_ems_hgl_3.2_000,3.2
,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,GL_MVP_t_b0hn_agg_output_ems_hgl_3.1_003,3.3
,,com.datio.hammurabi.rules.validity.DynamicForbiddenValuesRule,GL_DOM_t_b0hn_sust_groups_fdbk_3.3_000,3.3
,3.4,com.datio.hammurabi.rules.validity.NumericRangeRule,GL_DOM_t_b0hn_sust_group_mark_3.4_003,3.4
,,com.datio.hammurabi.rules.validity.StringRangeRule,GL_DOM_t_knfa_energy_certifications_3.4_002,3.4
,,com.datio.hammurabi.rules.validity.DateRangeRule,GL_DOM_t_b0hn_sust_groups_fdbk_3.4_001,3.4
,3.5,com.datio.hammurabi.rules.validity.StaticCatalogRule,GL_DOM_t_b0hn_sust_groups_fdbk_3.5_002,3.5
,,com.datio.hammurabi.rules.validity.DynamicCatalogRule,GL_DOM_t_b0hn_sust_group_mark_3.5_000,3.5
4,4.2,com.datio.hammurabi.rules.consistence.DuplicateRule,GL_STR_t_b0hn_agg_output_ems_hgl_4.2_000,4.2
,4.3,com.datio.hammurabi.rules.consistence.ValueConciliationRule,GL_STR_t_b0hn_agg_output_ems_hgl_4.3_000,4.3
5,5.2,com.datio.hammurabi.rules.integrity.ValueComparisonRule,GL_DOM_t_b0hn_sust_groups_fdbk_5.2_000,5.2
,5.3,com.datio.hammurabi.rules.integrity.SameValueComparisonRule,GL_DOM_t_b0hn_sust_group_mark_5.3_000,5.3
,5.4,com.datio.hammurabi.rules.integrity.ConditionalExpressionObjectRule,-,5.4
,,com.datio.hammurabi.rules.integrity.ConditionalExpressionObjectByRowRule,-,5.4
,5.5,com.datio.hammurabi.rules.integrity.ConditionalExpressionObjectsRule,-,5.5
,,com.datio.hammurabi.rules.integrity.ConditionalExpressionObjectsByRowRule,-,5.5
,5.6,com.datio.hammurabi.rules.integrity.ConcatRule,GL_DOM_t_knfa_energy_certifications_5.6_000,5.6
,,com.datio.hammurabi.rules.integrity.ConcatRuleByColumn,GL_DOM_t_rzua_sust_operations_5.6_000,5.6
6,6.1,com.datio.hammurabi.rules.accuracy.StaticGatheringRule,-,6.1
,,com.datio.hammurabi.rules.accuracy.DynamicGatheringRule,-,6.1
,,com.datio.hammurabi.rules.accuracy.GatheringByRowRule,-,6.1
,6.10,com.datio.hammurabi.rules.accuracy.DynamicRatingVariationRule,-,6.10
,,com.datio.hammurabi.rules.accuracy.StaticRatingVariationRule,-,6.10
,6.11,com.datio.hammurabi.rules.accuracy.HerfindahlRule,-,6.11
,6.2,com.datio.hammurabi.rules.accuracy.ValueSensitivityThresholdRule,GL_DOM_t_b0hn_sust_group_mark_6.2_000,6.2
,6.4,com.datio.hammurabi.rules.accuracy.ValueVariationRule,GL_DOM_t_cgj7_customer_carbon_footprint_6.4_000,6.4
,,com.datio.hammurabi.rules.accuracy.ValueAbsoluteVariationRule,-,6.4
,6.9,com.datio.hammurabi.rules.accuracy.VolumetricTrendRule,GL_STR_t_b0hn_agg_output_ems_hgl_6.9_000,6.9