uuaa,job,conf
l9ct,l9ct-gl-krb-inm-bankflenrgacscp3ems-01,t_l9ct_bank_fl_enrg_ac_scp_3_ems-inm-raw_klau.conf
l9ct,l9ct-gl-krb-inm-bankscope3emissions-01,t_l9ct_bank_rent_bldg_scp_3_ems-inm-raw_klau.conf
l9ct,l9ct-gl-krb-inm-bankscope1emissions-01,t_l9ct_bank_scope_1_emissions-inm-raw_klau.conf
l9ct,l9ct-gl-krb-inm-bankscope2emissions-01,t_l9ct_bank_scope_2_emissions-inm-raw_klau.conf
l9ct,l9ct-gl-krb-inm-banksuppcapgscp3ems-01,t_l9ct_bank_supp_cap_g_scp_3_ems-inm-raw_klau.conf
l9ct,l9ct-gl-krb-inm-bksuppprchgsvcs3ems-01,t_l9ct_bk_supp_prch_g_svc_s3_ems-inm-raw_klau.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpbankflenrgacs-01,L9CT_bank-fl-enrg-ac-scp-3-ems_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrbankflenrgacs-01,L9CT_bank-fl-enrg-ac-scp-3-ems_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpbankrentbldgs-01,L9CT_bank-rent-bldg-scp-3-ems_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrbankrentbldgs-01,L9CT_bank-rent-bldg-scp-3-ems_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpbankscope1emi-01,L9CT_bank-scope-1-emissions_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrbankscope1emi-01,L9CT_bank-scope-1-emissions_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpbankscope2emi-01,L9CT_bank-scope-2-emissions_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrbankscope2emi-01,L9CT_bank-scope-2-emissions_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpbanksuppcapgs-01,L9CT_bank-supp-cap-g-scp-3-ems_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrbanksuppcapgs-01,L9CT_bank-supp-cap-g-scp-3-ems_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmrbanksuppcapgs-01,L9CT_bank-supp-cap-g-scp-3-ems_PROC_supplier-information_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpbksuppprchgsv-01,L9CT_bk-supp-prch-g-svc-s3-ems_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrbksuppprchgsv-01,L9CT_bk-supp-prch-g-svc-s3-ems_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmrbksuppprchgsv-01,L9CT_bk-supp-prch-g-svc-s3-ems_PROC_supplier-information_MMRule.conf
b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrfield-01,B0HN_sust-group-mark_MRField.conf
b0hn,b0hn-gl-spk-qlt-inmmmrule-01,B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf
b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrfield-01,B0HN_sust-group-mark_MRField.conf
b0hn,b0hn-gl-spk-qlt-inmmmrule-01,B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf
b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrfield-01,B0HN_sust-group-mark_MRField.conf
b0hn,b0hn-gl-spk-qlt-inmmmrule-01,B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf
l9ct,l9ct-gl-qlt-inmstrclientparisalignment-01,L9CT_client-paris-alignment_MRObject.conf
l9ct,l9ct-gl-qlt-inmmvpclientparisalignment-01,L9CT_client-paris-alignment_MRField.conf
l9ct,l9ct-gl-qlt-inmmvpgrpclntparisalignment-01,L9CT_grp-clnt-paris-alignment_MRField.conf
l9ct,l9ct-gl-qlt-inmstrgrpclntparisalignment-01,L9CT_grp-clnt-paris-alignment_MRObject.conf
l9ct,l9ct-gl-qlt-inmmmrgrpclntparisalignment-01,L9CT_grp-clnt-paris-alignment_KSAG_holding-business-group_MMRule.conf
l9ct,l9ct-gl-qlt-inmmvpgrpnclntparisalignmnt-01,L9CT_grp-nclnt-paris-alignment_MRField.conf
l9ct,l9ct-gl-qlt-inmstrgrpnclntparisalignmnt-01,L9CT_grp-nclnt-paris-alignment_MRObject.conf
l9ct,l9ct-gl-qlt-inmmrulegrpnclntparisal9ct-01,L9CT_grp-clnt-paris-alignment_L9CT_grp-clnt-paris-alignment_MMRule.conf
l9ct,l9ct-gl-qlt-inmmrulegrpnclntparisal9ct-01,L9CT_client-carbon-data-scp3_MRField.conf
l9ct,l9ct-gl-qlt-inmstrclientcarbondatascp3-01,L9CT_client-carbon-data-scp3_MRObject.conf
l9ct,l9ct-gl-qlt-inmmvpgrpclntcrbndatascp3-01,L9CT_grp-clnt-crbn-data-scp3_MRField.conf
l9ct,l9ct-gl-qlt-inmstrgrpclntcrbndatascp3-01,L9CT_grp-clnt-crbn-data-scp3_MRObject.conf
l9ct,l9ct-gl-qlt-inmmmrgrpclntcrbndatascp3-01,L9CT_grp-clnt-crbn-data-scp3_KSAG_holding-business-group_MMRule.conf
l9ct,l9ct-gl-qlt-inmmvpgrpnclntcrbndatascp3-01,L9CT_grp-nclnt-crbn-data-scp3_MRField.conf
l9ct,l9ct-gl-qlt-inmstrgrpnclntcrbndatascp3-01,L9CT_grp-nclnt-crbn-data-scp3_MRObject.conf
l9ct,l9ct-gl-qlt-inmmvpclientcmpnycarbondata-01,L9CT_client-cmpny-carbon-data_MRField.conf
l9ct,l9ct-gl-qlt-inmstrclientcmpnycarbondata-01,L9CT_client-cmpny-carbon-data_MRObject.conf
l9ct,l9ct-gl-qlt-inmmvpgrpclntcmpnycrbndata-01,L9CT_grp-clnt-cmpny-crbn-data_MRField.conf
l9ct,l9ct-gl-qlt-inmstrgrpclntcmpnycrbndata-01,L9CT_grp-clnt-cmpny-crbn-data_MRObject.conf
l9ct,l9ct-gl-qlt-inmmmrgrpclntcmpnycrbndata-01,L9CT_grp-clnt-cmpny-crbn-data_KSAG_holding-business-group_MMRule.conf
l9ct,l9ct-gl-qlt-inmmvpgrpnclntcmpnycrbndata-01,L9CT_grp-nclnt-cmpny-crbn-data_MRField.conf
l9ct,l9ct-gl-qlt-inmstrgrpnclntcmpnycrbndata-01,L9CT_grp-nclnt-cmpny-crbn-data_MRObject.conf
l9ct,l9ct-gl-qlt-inmmmrgrpclntcmpnycrbnal9ct-01,L9CT_grp-clnt-cmpny-crbn-data_L9CT_grp-clnt-cmpny-crbn-data_MMRule.conf
l9ct,l9ct-gl-qlt-inmmvpclienttaxoalignment-01,L9CT_cs-ncs-co-tx-alig-sctr-r_MRField.conf
l9ct,l9ct-gl-qlt-inmstrclienttaxoalignment-01,L9CT_cs-ncs-co-tx-alig-sctr-r_MRObject.conf
l9ct,l9ct-gl-qlt-inmmvpgrpclnttaxoalignment-01,L9CT_grp-cs-co-tx-align-sctr-r_MRField.conf
l9ct,l9ct-gl-qlt-inmstrgrpclnttaxoalignment-01,L9CT_grp-cs-co-tx-align-sctr-r_MRObject.conf
l9ct,l9ct-gl-qlt-inmmmrgrpclnttaxoalignment-01,L9CT_grp-cs-co-tx-align-sctr-r_KSAG_holding-business-group_MMRule.conf
l9ct,l9ct-gl-qlt-inmmvpgrpnclnttaxoalignmnt-01,L9CT_grp-ncs-co-tx-alig-sctr-r_MRField.conf
l9ct,l9ct-gl-qlt-inmstrgrpnclnttaxoalignmnt-01,L9CT_grp-ncs-co-tx-alig-sctr-r_MRObject.conf
nols,nols-gl-spk-qlt-inmmvpinternalfund-01,NOLS_internal-funds_MRField.conf
nols,nols-gl-spk-qlt-inmstrinternalfunds-01,NOLS_internal-funds_MRObject.conf
nols,nols-gl-spk-qlt-inmmmrinternalfunds-02,NOLS_internal-funds_KCOG_entity_MMRule.conf
nols,nols-gl-spk-qlt-inmmvpexternalfunds-01,NOLS_external-funds_MRField.conf
nols,nols-gl-spk-qlt-inmstrexternalfunds-01,NOLS_external-funds_MRObject.conf
nols,nols-gl-spk-qlt-inmmvpinternalfundseq-01,NOLS_internal-funds-equity_MRField.conf
nols,nols-gl-spk-qlt-inmstrinternalfundseq-01,NOLS_internal-funds-equity_MRObject.conf
nols,nols-gl-spk-qlt-inmmmrinternalfundseqentity-01,NOLS_internal-funds-equity_KCOG_entity_MMRule.conf
nols,nols-gl-qlt-inmmmrinterfundequinterfund-01,NOLS_internal-funds-equity_NOLS_internal-funds_MMRule.conf
b0hn,b0hn-gl-spk-qlt-inmmvpsustfdbkdetail-01,B0HN_sust-groups-fdbk-detail_MRField.conf
b0hn,b0hn-gl-spk-qlt-inmstrsustfdbkdetail-01,B0HN_sust-groups-fdbk-detail_MRObject.conf
b0hn,b0hn-gl-spk-qlt-inmmmrsustfdbkdetail-01,B0HN_sust-groups-fdbk-detail_B0HN_sust-groups-fdbk_MMRule.conf
b0hn,b0hn-gl-spk-qlt-inmmvpsustfdbk-01,B0HN_sust-groups-fdbk_MRField.conf
b0hn,b0hn-gl-spk-qlt-inmstrsustfdbk-01,B0HN_sust-groups-fdbk_MRObject.conf
b0hn,b0hn-gl-spk-qlt-inmmmrsustfdbk-01,B0HN_sust-groups-fdbk_B0HN_sust-groups-fdbk-detail_MMRule.conf
b0hn,b0hn-gl-hmm-qlt-inmmmrsustfdbkcountry-01,B0HN_sust-groups-fdbk_KCOG_country_MMRule.conf
b0hn,b0hn-gl-hmm-qlt-inmmmrsustfdbkentity-01,B0HN_sust-groups-fdbk_KCOG_entity_MMRule.conf
b0hn,b0hn-gl-hmm-qlt-inmmvpaggoutptemshgl-01,B0HN_agg-output-ems-hgl_MRField.conf
b0hn,b0hn-gl-hmm-qlt-inmstraggoutptemshgl-01,B0HN_agg-output-ems-hgl_MRObject.conf
b0hn,b0hn-gl-hmm-qlt-inmmmraggoutptemshgl-01,B0HN_agg-output-ems-hgl_KSAG_holding-business-group_MMRule.conf
b0hn,b0hn-gl-hmm-qlt-inmmvptoolkitesggroupoutput-01,B0HN_toolkit-esg-group-output_MRField.conf
b0hn,b0hn-gl-hmm-qlt-inmstrtoolkitesggroupoutput-01,B0HN_toolkit-esg-group-output_MRObject.conf
b0hn,b0hn-gl-hmm-qlt-inmmmrtoolkitesggroupoutput-01,B0HN_toolkit-esg-group-output_KSAG_holding-business-group_MMRule.conf
rzua,rzua-gl-spk-qlt-inmmvpcntrctoutputemissions-01,RZUA_contract-output-emissions_MRField.conf
rzua,rzua-gl-spk-qlt-inmstrcntrctoutputemissions-01,RZUA_contract-output-emissions_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmrulecntrctoutptemsseom-01,RZUA_contract-output-emissions_KSAN_eom-contract_MMRule.conf
l9ct,l9ct-gl-spk-qlt-inmmvpgreensbondssectyflag-01,L9CT_green-bonds-secty-flag_MRField.conf
l9ct,l9ct-gl-spk-qlt-inmstrgreensbondssectyflag-01,L9CT_green-bonds-secty-flag_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpgpcustextdatacomp-01,L9CT_gp-cust-ext-data-comp_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrgpcustextdatacomp-01,L9CT_gp-cust-ext-data-comp_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmrulegpcustextdatacomp-01,L9CT_gp-cust-ext-data-comp_L9CT_esg-ext-data-companies_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmrulegpcustextkbtq-01,L9CT_gp-cust-ext-data-comp_KBTQ_customer-info_MMRule.conf
g5m3,g5m3-gl-spk-qlt-inmmvpemsustmoboperationcib-01,G5M3_sust-mob-operations-cib_MRField.conf
g5m3,g5m3-gl-spk-qlt-inmstremsustmoboperationcib-01,G5M3_sust-mob-operations-cib_MRObject.conf
g5m3,g5m3-gl-hmm-qlt-inmmrulesustmoboperationcib-01,G5M3_sust-mob-operations-cib_KSAN_contract-global-local_MMRule.conf
g5m3,g5m3-gl-hmm-qlt-inmmrulesustmboprtincib-01,G5M3_sust-mob-operations-cib_KCOG_entity_MMRule.conf
l9ct,l9ct-gl-spk-qlt-inmmvpemfactorsbuildings-01,L9CT_em-factors-buildings_MRField.conf
l9ct,l9ct-gl-spk-qlt-inmstremfactorsbuildings-01,L9CT_em-factors-buildings_MRObject.conf
l9ct,l9ct-gl-spk-qlt-inmmvpemfactorseurbuildings-01,L9CT_em-factors-eur-buildings_MRField.conf
l9ct,l9ct-gl-spk-qlt-inmstremfactorseurbuildings-01,L9CT_em-factors-eur-buildings_MRObject.conf
l9ct,l9ct-gl-spk-qlt-inmmvpemfactorsmotorve-01,L9CT_em-factors-motor-ve_MRField.conf
l9ct,l9ct-gl-spk-qlt-inmstremfactorsmotorve-01,L9CT_em-factors-motor-ve_MRObject.conf
l9ct,l9ct-gl-spk-qlt-inmmvpemfactorsbysector-01,L9CT_em-factors-by-sector_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpesgscoresinsdustryta-01,L9CT_esg-scores-industry-taxo_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstresgscoresinsdustryta-01,L9CT_esg-scores-industry-taxo_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpindustryaggesgscores-01,L9CT_industry-agg-esg-scores_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrindustryaggesgscores-01,L9CT_industry-agg-esg-scores_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmmrindustryaggesgscores-01,L9CT_industry-agg-esg-scores_L9CT_esg-scores-industry-taxo_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpinstesgscoresdimensio-01,L9CT_inst-esg-scores-dimension_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrinstesgscoresdimensio-01,L9CT_inst-esg-scores-dimension_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmruleinstesgscoresdimens-01,L9CT_inst-esg-scores-dimension_L9CT_institutions-esg_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpinstsesgscorescases-01,L9CT_insts-esg-scores-cases_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrinstsesgscorescases-01,L9CT_insts-esg-scores-cases_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpinstsesgscorescriteri-01,L9CT_insts-esg-scores-criteria_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrinstsesgscorescriteri-01,L9CT_insts-esg-scores-criteria_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmruleinstsesgscorescrite-01,L9CT_insts-esg-scores-criteria_L9CT_inst-esg-scores-dimension_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmmruleinstsesgscoresgnrl-01,L9CT_insts-esg-scores-general_L9CT_institutions-esg_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpinstsesgscoresgeneral-01,L9CT_insts-esg-scores-general_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrinstsesgscoresgeneral-01,L9CT_insts-esg-scores-general_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpinstitutionsesg-01,L9CT_institutions-esg_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrinstitutionsesg-01,L9CT_institutions-esg_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpesgextdatacompanies-01,L9CT_esg-ext-data-companies_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstresgextdatacompanies-01,L9CT_esg-ext-data-companies_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpecoactivitytaxo-01,L9CT_eco-activity-taxo_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrecoactivitytaxo-01,L9CT_eco-activity-taxo_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpsustcompscores-01,L9CT_sust-comp-scores_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrsustcompscores-01,L9CT_sust-comp-scores_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpsustsindsscores-01,L9CT_sust-sinds-scores_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrsustsindsscores-01,L9CT_sust-sinds-scores_MRObject.conf
rzua,rzua-gl-spk-qlt-inmmvpsustoperationscib-01,RZUA_sust-operations-cib_MRField.conf
rzua,rzua-gl-spk-qlt-inmstrsustoperationscib-01,RZUA_sust-operations-cib_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmmrsustoperationscibmob-01,RZUA_sust-operations-cib_G5M3_sust-mob-operations_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmmrsustoperationscibetty-01,RZUA_sust-operations-cib_KCOG_entity_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmmrsustoperationscibopts-01,RZUA_sust-operations-cib_RZUA_sust-operations_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmmrsustopratinsciboprtci-01,RZUA_sust-operations-cib_RZUA_sust-operations-cib_MMRule.conf
rzua,rzua-gl-spk-qlt-inmmvpsustsplproject-01,RZUA_sust-spl-project_MRField.conf
rzua,rzua-gl-spk-qlt-inmstrsustsplproject-01,RZUA_sust-spl-project_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmvpsustcollat-01,RZUA_sust-collaterals_MRField.conf
rzua,rzua-gl-hmm-qlt-inmstrsustcollat-01,RZUA_sust-collaterals_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmvpsustkpilinkopercon-01,RZUA_sust-kpi-link-oper-condit_MRField.conf
rzua,rzua-gl-hmm-qlt-inmstrsustkpilinkopercon-01,RZUA_sust-kpi-link-oper-condit_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmrulesustkpilrconksan-01,RZUA_sust-kpi-link-oper-condit_KSAN_eom-contract_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmvpsustkpilinkoperation-01,RZUA_sust-kpi-link-operation_MRField.conf
rzua,rzua-gl-hmm-qlt-inmstrsustkpilinkoperation-01,RZUA_sust-kpi-link-operation_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmrulesustkpilinkksancon-01,RZUA_sust-kpi-link-operation_KSAN_contract-global-local_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmrulesustkpilinkopksaneo-01,RZUA_sust-kpi-link-operation_KSAN_eom-contract_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmvpsustkpilinkopercheckp-01,RZUA_sust-kpi-link-oper-checkp_MRField.conf
rzua,rzua-gl-hmm-qlt-inmstrsustkpilinkopercheckp-01,RZUA_sust-kpi-link-oper-checkp_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmrulesustkprchecklink-01,RZUA_sust-kpi-link-oper-checkp_RZUA_sust-kpi-link-oper-condit_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmvpoperationscustscope-01,RZUA_operations-cust-scope-cib_MRField.conf
rzua,rzua-gl-hmm-qlt-inmstroperationscustscope-01,RZUA_operations-cust-scope-cib_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmroperationscustscopeeom-01,RZUA_operations-cust-scope-cib_KBTQ_eom-customer_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmroperationscustscopenty-01,RZUA_operations-cust-scope-cib_KCOG_entity_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmroperationscustscopehol-01,RZUA_operations-cust-scope-cib_KSAG_holding-business-group_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmvpsustkpilinkrvwalert-01,RZUA_sust-kpi-link-rvw-alert_MRField.conf
rzua,rzua-gl-hmm-qlt-inmstrsustkpilinkrvwalert-01,RZUA_sust-kpi-link-rvw-alert_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmvpissuanceoutputems-01,RZUA_issuance-output-emissions_MRField.conf
rzua,rzua-gl-hmm-qlt-inmstrissuanceoutputems-01,RZUA_issuance-output-emissions_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmvpsustkpilinkoperrev-01,RZUA_sust-kpi-link-oper-review_MRField.conf
rzua,rzua-gl-hmm-qlt-inmstrsustkpilinkoperrev-01,RZUA_sust-kpi-link-oper-review_MRObject.conf
scat,scat-gl-qlt-inmmvpsusthierarch-01,SCAT_sustainability-hierarch_MRField.conf
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf
