uuaa,job,conf
cgj7,cgj7-gl-spk-qlt-inmcustmarkmrfield-01,CGJ7_sust-customer-mark_MRField.conf
cgj7,cgj7-gl-spk-qlt-inmcustmarkmrobject-01,CGJ7_sust-customer-mark_MRObject.conf
cgj7,cgj7-gl-spk-qlt-inmcustmarkmrfield-01,CGJ7_sust-customer-mark_MRField.conf
cgj7,cgj7-gl-spk-qlt-inmcustmarkmrobject-01,CGJ7_sust-customer-mark_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpcoassetrelemissions-01,L9CT_co-asset-rel-emissions_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrcoassetrelemissions-01,L9CT_co-asset-rel-emissions_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmrcoastrelemsnscomp-01,L9CT_co-asset-rel-emissions_L9CT_esg-ext-data-companies_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpcoassetrelactivity-01,L9CT_co-asset-rel-activity_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrcoassetrelactivity-01,L9CT_co-asset-rel-activity_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmmrcoassetrelactivity-01,L9CT_co-asset-rel-activity_L9CT_esg-ext-data-companies_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmrcsncscotxksag-01,L9CT_cs-ncs-co-tx-alig-sctr-r_KSAG_global-customer_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmrcsncscotxksag-01,L9CT_cs-ncs-co-tx-alig-sctr-r_KSAG_global-customer_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpesgextdatacompannl-01,L9CT_esg-ext-data-comp-annl_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstresgextdatacompannl-01,L9CT_esg-ext-data-comp-annl_MRObject.conf
nols,nols-gl-hmm-qlt-inmmvpassetsundmgmtisinlvl-01,NOLS_assets-und-mgmt-isin-lvl_MRField.conf
nols,nols-gl-hmm-qlt-inmstrassetsundmgmtisinlvl-01,NOLS_assets-und-mgmt-isin-lvl_MRObject.conf
nols,nols-gl-hmm-qlt-inmmvpassetsundmgmtisinlvl-01,NOLS_assets-und-mgmt-isin-lvl_MRField.conf
nols,nols-gl-hmm-qlt-inmstrassetsundmgmtisinlvl-01,NOLS_assets-und-mgmt-isin-lvl_MRObject.conf
nols,nols-gl-hmm-qlt-inmmvpexternalfundseq-01,NOLS_external-funds-equity_MRField.conf
nols,nols-gl-hmm-qlt-inmstrexternalfundseq-01,NOLS_external-funds-equity_MRObject.conf
nols,nols-gl-hmm-qlt-inmmmrexternalfundseqentity-01,NOLS_external-funds-equity_NOLS_external-funds_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpcoemrductarget-01,L9CT_co-em-rduc-target_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrcoemrductarget-01,L9CT_co-em-rduc-target_MRObject.conf
kctd,kctd-gl-hmm-qlt-inmvpinteraction-01,KCTD_interaction_MRField.conf
kctd,kctd-gl-hmm-qlt-inmvpinteractionactvity-01,KCTD_interaction-activity_MRField.conf
kctd,kctd-gl-hmm-qlt-inmstrinteractionactvity-01,KCTD_interaction-activity_MRObject.conf
kctd,kctd-gl-hmm-qlt-inmvpinteractionaggqlt-01,KCTD_interaction-agg-quality_MRField.conf
kctd,kctd-gl-hmm-qlt-inmstrinteractionaggqlt-01,KCTD_interaction-agg-quality_MRObject.conf
kctd,kctd-gl-hmm-qlt-inmvpinteractionhitqlt-01,KCTD_interaction-hit-quality_MRField.conf
kctd,kctd-gl-hmm-qlt-inmstrinteractionhitqlt-01,KCTD_interaction-hit-quality_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpesgfactreply-01,L9CT_esg-fact-reply_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstresgfactreply-01,L9CT_esg-fact-reply_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpesgquestionscore-01,L9CT_esg-question-score_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstresgquestionscore-01,L9CT_esg-question-score_MRObject.conf
JOBS,JOBS PENDIENTES DE IMPLANTAR,JOBS PENDIENTES / EN PROGRESO
kfcm,kfcm-gl-hmm-qlt-inmmvpfdbkfilldfrmfld-01,KFCM_fdbk-filled-form-field_MRField.conf
kfcm,kfcm-gl-hmm-qlt-inmstrfdbkfilldfrmfld-01,KFCM_fdbk-filled-form-field_MRObject.conf
kfcm,kfcm-gl-hmm-qlt-inmmvpsaturationrules-01,KFCM_fdbk-saturation-rules_MRField.conf
kfcm,kfcm-gl-hmm-qlt-inmstrsaturationrules-01,KFCM_fdbk-saturation-rules_MRObject.conf
kfcm,kfcm-gl-hmm-qlt-inmmvpfeedbckflldfrm-01,KFCM_feedback-filled-form_MRField.conf
kfcm,kfcm-gl-hmm-qlt-inmstrfeedbckflldfrm-01,KFCM_feedback-filled-form_MRObject.conf
kfcm,kfcm-gl-hmm-qlt-inmmvpfeedbckfrmfield-01,KFCM_feedback-form-field_MRField.conf
kfcm,kfcm-gl-hmm-qlt-inmstrfeedbckfrmfield-01,KFCM_feedback-form-field_MRObject.conf
kfcm,kfcm-gl-hmm-qlt-inmmvpfeedbckfrmshown-01,KFCM_feedback-form-shown_MRField.conf
kfcm,kfcm-gl-hmm-qlt-inmstrfeedbckfrmshown-01,KFCM_feedback-form-shown_MRObject.conf
kfcm,kfcm-gl-hmm-qlt-inmmvpfeedbackforms-01,KFCM_feedback-forms_MRField.conf
kfcm,kfcm-gl-hmm-qlt-inmstrfeedbackforms-01,KFCM_feedback-forms_MRObject.conf
kfcm,kfcm-gl-hmm-qlt-inmmvpfeedbackoptions-01,KFCM_feedback-options_MRField.conf
kfcm,kfcm-gl-hmm-qlt-inmstrfeedbackoptions-01,KFCM_feedback-options_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpesgextdcoanloilgas-01,L9CT_esg-ext-d-co-anl-oilgas_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstresgextdcoanloilgas-01,L9CT_esg-ext-d-co-anl-oilgas_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpprodassetcorelations-01,L9CT_prod-asset-co-relations_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrprodassetcorelations-01,L9CT_prod-asset-co-relations_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpprodassetsoilgasann-01,L9CT_prod-assets-oilgas-annual_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrprodassetsoilgasann-01,L9CT_prod-assets-oilgas-annual_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpprodassetsoilgas-01,L9CT_prod-assets-oilgas_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrprodassetsoilgas-01,L9CT_prod-assets-oilgas_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpproductionassets-01,L9CT_production-assets_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrproductionassets-01,L9CT_production-assets_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpprodassestsannual-01,L9CT_prod-assets-annual_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrprodassestsannual-01,L9CT_prod-assets-annual_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmrprodassestsannual-01,L9CT_prod-assets-annual_L9CT_production-assets_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmrulegpcustextksag-01,L9CT_gp-cust-ext-data-comp_KSAG_global-customer_MMRule.conf
scat,scat-gl-hmm-qlt-inmmvpparentchildsusthier-01,SCAT_parent-child-sust-hier_MRField.conf
g5m3,g5m3-gl-hmm-qlt-inmmrulesustmboprtincibsust-01,G5M3_sust-mob-operations-cib_G5M3_sust-mob-operations-cib_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmrulecntrctoukcog-01,RZUA_contract-output-emissions_KCOG_country_MMRule.conf
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!